Event Type,Event Size (Attendees),Event Duration (Days),Event Schedule (Start - End),Event Date (Start),Event Date (End),"Participant Demographics (Age, Location, Interests)","Participant Engagement Metrics (Attendance, Feedback)"
Conference,1038,4,09:00 - 17:00,2024-12-23,2024-12-26,"18-35, Maharashtra, Arts","95%, Positive"
Festival,4317,1,14:00 - 20:00,2024-10-25,2024-10-25,"30-60, Bangalore, Education","80%, Negative"
Conference,1761,4,09:00 - 17:00,2025-01-17,2025-01-20,"18-25, Indore, Tech","95%, Positive"
Conference,1185,3,10:00 - 18:00,2024-10-15,2024-10-17,"18-25, Indore, Tech","70%, Negative"
Conference,1794,2,09:00 - 17:00,2024-12-04,2024-12-05,"25-50, Delhi, Business","75%, Neutral"
Conference,1217,2,09:00 - 17:00,2025-01-24,2025-01-25,"20-45, Mumbai, Sports","80%, Negative"
Conference,501,3,10:00 - 18:00,2024-10-12,2024-10-14,"20-45, Mumbai, Sports","85%, Positive"
Trade Show,922,3,14:00 - 20:00,2025-01-12,2025-01-14,"30-60, Bangalore, Education","85%, Positive"
Conference,1961,2,10:00 - 18:00,2024-11-30,2024-12-01,"18-25, Indore, Tech","85%, Positive"
Seminar,1183,1,12:00 - 22:00,2024-11-08,2024-11-08,"18-35, Maharashtra, Arts","95%, Positive"
Seminar,1009,4,10:00 - 18:00,2024-10-12,2024-10-15,"30-60, Bangalore, Education","95%, Positive"
Festival,507,2,14:00 - 20:00,2024-10-03,2024-10-04,"20-45, Mumbai, Sports","85%, Positive"
Seminar,955,1,09:00 - 17:00,2025-01-20,2025-01-20,"25-50, Delhi, Business","80%, Negative"
Seminar,493,2,12:00 - 22:00,2024-12-12,2024-12-13,"18-35, Maharashtra, Arts","75%, Neutral"
Conference,1720,4,10:00 - 18:00,2024-12-19,2024-12-22,"25-50, Delhi, Business","95%, Positive"
Trade Show,2220,1,12:00 - 22:00,2024-12-22,2024-12-22,"18-25, Indore, Tech","75%, Neutral"
Conference,1569,4,09:00 - 17:00,2024-11-23,2024-11-26,"30-60, Bangalore, Education","95%, Positive"
Seminar,636,3,10:00 - 18:00,2025-01-22,2025-01-24,"25-50, Delhi, Business","75%, Neutral"
Seminar,274,4,09:00 - 17:00,2025-01-23,2025-01-26,"20-45, Mumbai, Sports","85%, Positive"
Conference,1210,2,09:00 - 17:00,2024-11-19,2024-11-20,"20-45, Mumbai, Sports","70%, Negative"
Festival,3090,4,12:00 - 22:00,2024-12-03,2024-12-06,"25-50, Delhi, Business","70%, Negative"
Festival,6317,3,09:00 - 17:00,2025-01-08,2025-01-10,"20-45, Mumbai, Sports","80%, Negative"
Festival,2320,4,14:00 - 20:00,2024-10-13,2024-10-16,"20-45, Mumbai, Sports","80%, Negative"
Festival,4930,3,09:00 - 17:00,2024-10-07,2024-10-09,"20-45, Mumbai, Sports","80%, Negative"
Seminar,145,4,10:00 - 18:00,2025-01-19,2025-01-22,"30-60, Bangalore, Education","95%, Positive"
Conference,671,4,10:00 - 18:00,2024-11-07,2024-11-10,"25-50, Delhi, Business","75%, Neutral"
Trade Show,2909,2,10:00 - 18:00,2024-10-04,2024-10-05,"20-45, Mumbai, Sports","80%, Negative"
Seminar,1183,4,10:00 - 18:00,2024-12-05,2024-12-08,"18-35, Maharashtra, Arts","85%, Positive"
Trade Show,708,4,14:00 - 20:00,2024-11-22,2024-11-25,"25-50, Delhi, Business","85%, Positive"
Seminar,681,2,09:00 - 17:00,2024-12-25,2024-12-26,"18-25, Indore, Tech","85%, Positive"
Conference,515,3,09:00 - 17:00,2024-11-23,2024-11-25,"30-60, Bangalore, Education","95%, Positive"
Seminar,771,3,12:00 - 22:00,2025-01-08,2025-01-10,"30-60, Bangalore, Education","85%, Positive"
Seminar,330,2,09:00 - 17:00,2024-12-30,2024-12-31,"18-35, Maharashtra, Arts","75%, Neutral"
Seminar,411,4,10:00 - 18:00,2025-01-16,2025-01-19,"18-35, Maharashtra, Arts","85%, Positive"
Seminar,636,3,10:00 - 18:00,2024-12-11,2024-12-13,"25-50, Delhi, Business","95%, Positive"
Conference,923,3,10:00 - 18:00,2024-11-08,2024-11-10,"18-35, Maharashtra, Arts","75%, Neutral"
Trade Show,2488,3,14:00 - 20:00,2024-10-08,2024-10-10,"20-45, Mumbai, Sports","70%, Negative"
Trade Show,2656,4,10:00 - 18:00,2024-12-26,2024-12-29,"18-35, Maharashtra, Arts","70%, Negative"
Trade Show,2662,4,12:00 - 22:00,2024-10-06,2024-10-09,"20-45, Mumbai, Sports","95%, Positive"
Trade Show,1037,2,12:00 - 22:00,2024-11-14,2024-11-15,"25-50, Delhi, Business","95%, Positive"
Conference,1417,4,10:00 - 18:00,2024-11-30,2024-12-03,"30-60, Bangalore, Education","75%, Neutral"
Trade Show,2108,1,12:00 - 22:00,2024-11-28,2024-11-28,"25-50, Delhi, Business","80%, Negative"
Trade Show,1236,3,10:00 - 18:00,2025-01-17,2025-01-19,"30-60, Bangalore, Education","75%, Neutral"
Festival,4237,2,10:00 - 18:00,2024-11-25,2024-11-26,"20-45, Mumbai, Sports","75%, Neutral"
Conference,476,4,09:00 - 17:00,2025-01-06,2025-01-09,"30-60, Bangalore, Education","70%, Negative"
Conference,842,4,09:00 - 17:00,2024-12-05,2024-12-08,"20-45, Mumbai, Sports","80%, Negative"
Trade Show,1429,2,12:00 - 22:00,2024-10-28,2024-10-29,"20-45, Mumbai, Sports","95%, Positive"
Conference,1705,3,10:00 - 18:00,2024-10-08,2024-10-10,"18-25, Indore, Tech","85%, Positive"
Conference,1965,4,09:00 - 17:00,2025-01-18,2025-01-21,"25-50, Delhi, Business","70%, Negative"
Trade Show,1708,1,14:00 - 20:00,2024-12-12,2024-12-12,"18-25, Indore, Tech","80%, Negative"
Festival,4033,2,09:00 - 17:00,2024-12-21,2024-12-22,"20-45, Mumbai, Sports","85%, Positive"
Conference,823,2,09:00 - 17:00,2024-11-18,2024-11-19,"25-50, Delhi, Business","85%, Positive"
Festival,4177,1,14:00 - 20:00,2024-10-28,2024-10-28,"18-35, Maharashtra, Arts","75%, Neutral"
Conference,1265,3,09:00 - 17:00,2024-12-23,2024-12-25,"30-60, Bangalore, Education","95%, Positive"
Conference,1052,4,10:00 - 18:00,2025-01-21,2025-01-24,"30-60, Bangalore, Education","75%, Neutral"
Trade Show,1428,4,12:00 - 22:00,2024-11-12,2024-11-15,"18-35, Maharashtra, Arts","80%, Negative"
Festival,1269,2,14:00 - 20:00,2024-10-24,2024-10-25,"20-45, Mumbai, Sports","95%, Positive"
Conference,1107,2,09:00 - 17:00,2025-01-05,2025-01-06,"25-50, Delhi, Business","95%, Positive"
Seminar,920,2,12:00 - 22:00,2025-01-21,2025-01-22,"30-60, Bangalore, Education","95%, Positive"
Festival,5871,1,12:00 - 22:00,2024-11-05,2024-11-05,"25-50, Delhi, Business","80%, Negative"
Seminar,1031,3,10:00 - 18:00,2024-10-14,2024-10-16,"25-50, Delhi, Business","75%, Neutral"
Conference,1676,2,09:00 - 17:00,2024-12-16,2024-12-17,"25-50, Delhi, Business","70%, Negative"
Festival,3121,1,09:00 - 17:00,2024-12-20,2024-12-20,"18-25, Indore, Tech","85%, Positive"
Trade Show,536,1,12:00 - 22:00,2024-11-20,2024-11-20,"30-60, Bangalore, Education","95%, Positive"
Festival,4867,1,12:00 - 22:00,2025-01-16,2025-01-16,"18-25, Indore, Tech","80%, Negative"
Festival,3464,4,12:00 - 22:00,2024-11-15,2024-11-18,"18-35, Maharashtra, Arts","70%, Negative"
Seminar,1164,3,09:00 - 17:00,2025-01-22,2025-01-24,"18-35, Maharashtra, Arts","70%, Negative"
Festival,1918,4,14:00 - 20:00,2024-11-07,2024-11-10,"25-50, Delhi, Business","80%, Negative"
Seminar,485,2,09:00 - 17:00,2025-01-18,2025-01-19,"25-50, Delhi, Business","95%, Positive"
Seminar,790,2,10:00 - 18:00,2024-10-22,2024-10-23,"18-35, Maharashtra, Arts","80%, Negative"
Conference,970,3,09:00 - 17:00,2024-12-13,2024-12-15,"25-50, Delhi, Business","80%, Negative"
Festival,5802,1,09:00 - 17:00,2024-11-16,2024-11-16,"18-35, Maharashtra, Arts","70%, Negative"
Festival,2125,1,10:00 - 18:00,2025-01-27,2025-01-27,"25-50, Delhi, Business","75%, Neutral"
Festival,1959,3,09:00 - 17:00,2025-01-01,2025-01-03,"18-25, Indore, Tech","75%, Neutral"
Seminar,522,1,10:00 - 18:00,2024-12-24,2024-12-24,"30-60, Bangalore, Education","70%, Negative"
Conference,1462,4,10:00 - 18:00,2024-11-03,2024-11-06,"25-50, Delhi, Business","70%, Negative"
Trade Show,772,3,10:00 - 18:00,2025-01-12,2025-01-14,"25-50, Delhi, Business","95%, Positive"
Seminar,363,3,10:00 - 18:00,2024-10-07,2024-10-09,"18-25, Indore, Tech","70%, Negative"
Conference,1981,3,09:00 - 17:00,2025-01-06,2025-01-08,"18-25, Indore, Tech","70%, Negative"
Conference,1247,2,09:00 - 17:00,2025-01-15,2025-01-16,"30-60, Bangalore, Education","80%, Negative"
Seminar,573,4,12:00 - 22:00,2024-12-04,2024-12-07,"20-45, Mumbai, Sports","75%, Neutral"
Festival,912,2,12:00 - 22:00,2024-12-26,2024-12-27,"18-35, Maharashtra, Arts","80%, Negative"
Conference,1871,2,10:00 - 18:00,2025-01-21,2025-01-22,"18-25, Indore, Tech","85%, Positive"
Conference,838,4,09:00 - 17:00,2024-12-01,2024-12-04,"30-60, Bangalore, Education","70%, Negative"
Seminar,440,4,10:00 - 18:00,2024-11-07,2024-11-10,"18-25, Indore, Tech","75%, Neutral"
Seminar,243,1,12:00 - 22:00,2024-10-01,2024-10-01,"30-60, Bangalore, Education","95%, Positive"
Trade Show,2121,1,10:00 - 18:00,2024-11-30,2024-11-30,"25-50, Delhi, Business","80%, Negative"
Festival,5670,1,14:00 - 20:00,2024-12-03,2024-12-03,"30-60, Bangalore, Education","70%, Negative"
Festival,4477,3,14:00 - 20:00,2024-10-15,2024-10-17,"30-60, Bangalore, Education","75%, Neutral"
Seminar,265,1,10:00 - 18:00,2025-01-18,2025-01-18,"18-35, Maharashtra, Arts","95%, Positive"
Festival,2980,4,10:00 - 18:00,2024-10-08,2024-10-11,"25-50, Delhi, Business","75%, Neutral"
Seminar,277,4,12:00 - 22:00,2024-11-21,2024-11-24,"30-60, Bangalore, Education","85%, Positive"
Conference,1521,3,10:00 - 18:00,2024-12-11,2024-12-13,"18-35, Maharashtra, Arts","70%, Negative"
Festival,5570,4,12:00 - 22:00,2025-01-17,2025-01-20,"20-45, Mumbai, Sports","95%, Positive"
Seminar,786,3,12:00 - 22:00,2024-10-06,2024-10-08,"18-35, Maharashtra, Arts","80%, Negative"
Festival,4187,3,10:00 - 18:00,2024-12-25,2024-12-27,"18-25, Indore, Tech","70%, Negative"
Festival,4084,4,12:00 - 22:00,2024-12-16,2024-12-19,"18-25, Indore, Tech","85%, Positive"
Conference,1607,3,09:00 - 17:00,2024-12-01,2024-12-03,"18-25, Indore, Tech","85%, Positive"
Trade Show,2615,1,14:00 - 20:00,2024-12-19,2024-12-19,"18-25, Indore, Tech","80%, Negative"
Conference,511,3,10:00 - 18:00,2025-01-07,2025-01-09,"20-45, Mumbai, Sports","95%, Positive"
Seminar,793,3,10:00 - 18:00,2024-10-13,2024-10-15,"20-45, Mumbai, Sports","75%, Neutral"
Seminar,1083,3,09:00 - 17:00,2024-11-14,2024-11-16,"25-50, Delhi, Business","95%, Positive"
Seminar,631,4,10:00 - 18:00,2024-10-23,2024-10-26,"20-45, Mumbai, Sports","75%, Neutral"
Seminar,468,4,12:00 - 22:00,2024-11-14,2024-11-17,"25-50, Delhi, Business","75%, Neutral"
Festival,1986,2,09:00 - 17:00,2024-12-28,2024-12-29,"18-35, Maharashtra, Arts","70%, Negative"
Trade Show,2098,1,14:00 - 20:00,2024-11-08,2024-11-08,"18-35, Maharashtra, Arts","75%, Neutral"
Seminar,689,4,09:00 - 17:00,2024-12-30,2025-01-02,"18-25, Indore, Tech","85%, Positive"
Festival,5307,3,12:00 - 22:00,2025-01-03,2025-01-05,"18-25, Indore, Tech","85%, Positive"
Festival,4703,3,10:00 - 18:00,2025-01-05,2025-01-07,"18-25, Indore, Tech","95%, Positive"
Festival,3724,2,09:00 - 17:00,2024-10-04,2024-10-05,"30-60, Bangalore, Education","85%, Positive"
Seminar,221,3,10:00 - 18:00,2024-12-31,2025-01-02,"18-25, Indore, Tech","70%, Negative"
Festival,5044,1,09:00 - 17:00,2024-12-29,2024-12-29,"18-25, Indore, Tech","95%, Positive"
Festival,6206,3,10:00 - 18:00,2024-10-13,2024-10-15,"30-60, Bangalore, Education","95%, Positive"
Conference,583,3,09:00 - 17:00,2024-11-21,2024-11-23,"30-60, Bangalore, Education","85%, Positive"
Conference,1214,4,09:00 - 17:00,2024-10-08,2024-10-11,"30-60, Bangalore, Education","75%, Neutral"
Conference,1511,2,10:00 - 18:00,2025-01-16,2025-01-17,"18-35, Maharashtra, Arts","95%, Positive"
Conference,786,4,10:00 - 18:00,2024-12-25,2024-12-28,"20-45, Mumbai, Sports","85%, Positive"
Festival,5052,1,14:00 - 20:00,2024-11-07,2024-11-07,"20-45, Mumbai, Sports","75%, Neutral"
Conference,558,3,09:00 - 17:00,2025-01-12,2025-01-14,"20-45, Mumbai, Sports","85%, Positive"
Seminar,1167,4,09:00 - 17:00,2024-12-08,2024-12-11,"18-35, Maharashtra, Arts","85%, Positive"
Festival,2174,3,14:00 - 20:00,2024-12-03,2024-12-05,"18-35, Maharashtra, Arts","95%, Positive"
Seminar,443,2,12:00 - 22:00,2024-11-08,2024-11-09,"30-60, Bangalore, Education","75%, Neutral"
Trade Show,2576,3,12:00 - 22:00,2025-01-09,2025-01-11,"20-45, Mumbai, Sports","75%, Neutral"
Conference,1813,2,10:00 - 18:00,2024-12-19,2024-12-20,"20-45, Mumbai, Sports","95%, Positive"
Trade Show,1862,4,14:00 - 20:00,2024-12-17,2024-12-20,"18-25, Indore, Tech","70%, Negative"
Festival,2836,3,10:00 - 18:00,2024-10-08,2024-10-10,"18-35, Maharashtra, Arts","80%, Negative"
Conference,872,4,09:00 - 17:00,2024-10-08,2024-10-11,"25-50, Delhi, Business","75%, Neutral"
Festival,6457,4,09:00 - 17:00,2024-11-17,2024-11-20,"25-50, Delhi, Business","80%, Negative"
Festival,5014,3,09:00 - 17:00,2024-10-17,2024-10-19,"20-45, Mumbai, Sports","95%, Positive"
Festival,1569,2,12:00 - 22:00,2024-11-20,2024-11-21,"30-60, Bangalore, Education","75%, Neutral"
Trade Show,2145,4,12:00 - 22:00,2024-11-18,2024-11-21,"30-60, Bangalore, Education","75%, Neutral"
Seminar,625,1,12:00 - 22:00,2024-11-14,2024-11-14,"20-45, Mumbai, Sports","95%, Positive"
Seminar,264,1,09:00 - 17:00,2025-01-15,2025-01-15,"30-60, Bangalore, Education","95%, Positive"
Seminar,296,2,09:00 - 17:00,2024-12-16,2024-12-17,"25-50, Delhi, Business","80%, Negative"
Conference,1214,3,09:00 - 17:00,2025-01-18,2025-01-20,"18-35, Maharashtra, Arts","95%, Positive"
Trade Show,1800,4,10:00 - 18:00,2024-12-21,2024-12-24,"18-35, Maharashtra, Arts","85%, Positive"
Conference,1763,4,10:00 - 18:00,2024-11-08,2024-11-11,"18-25, Indore, Tech","75%, Neutral"
Conference,354,3,09:00 - 17:00,2024-10-20,2024-10-22,"30-60, Bangalore, Education","75%, Neutral"
Seminar,1046,2,10:00 - 18:00,2024-11-13,2024-11-14,"30-60, Bangalore, Education","80%, Negative"
Seminar,120,2,10:00 - 18:00,2025-01-12,2025-01-13,"18-35, Maharashtra, Arts","80%, Negative"
Conference,1338,3,10:00 - 18:00,2024-10-05,2024-10-07,"30-60, Bangalore, Education","80%, Negative"
Seminar,173,3,10:00 - 18:00,2025-01-28,2025-01-30,"30-60, Bangalore, Education","70%, Negative"
Seminar,365,2,10:00 - 18:00,2024-12-30,2024-12-31,"20-45, Mumbai, Sports","95%, Positive"
Seminar,254,4,10:00 - 18:00,2024-12-19,2024-12-22,"18-35, Maharashtra, Arts","80%, Negative"
Conference,313,3,10:00 - 18:00,2024-12-05,2024-12-07,"20-45, Mumbai, Sports","85%, Positive"
Festival,661,2,14:00 - 20:00,2024-11-08,2024-11-09,"18-35, Maharashtra, Arts","75%, Neutral"
Trade Show,2670,3,12:00 - 22:00,2024-11-25,2024-11-27,"25-50, Delhi, Business","95%, Positive"
Seminar,229,4,10:00 - 18:00,2024-11-28,2024-12-01,"30-60, Bangalore, Education","75%, Neutral"
Seminar,126,2,09:00 - 17:00,2024-11-21,2024-11-22,"25-50, Delhi, Business","75%, Neutral"
Conference,1842,2,10:00 - 18:00,2024-10-05,2024-10-06,"30-60, Bangalore, Education","70%, Negative"
Trade Show,2182,4,12:00 - 22:00,2024-11-26,2024-11-29,"30-60, Bangalore, Education","80%, Negative"
Trade Show,732,4,14:00 - 20:00,2024-10-03,2024-10-06,"20-45, Mumbai, Sports","95%, Positive"
Conference,576,4,10:00 - 18:00,2024-11-24,2024-11-27,"20-45, Mumbai, Sports","95%, Positive"
Conference,1208,4,09:00 - 17:00,2025-01-05,2025-01-08,"25-50, Delhi, Business","95%, Positive"
Festival,619,2,12:00 - 22:00,2024-10-06,2024-10-07,"25-50, Delhi, Business","85%, Positive"
Seminar,529,3,12:00 - 22:00,2024-10-13,2024-10-15,"18-35, Maharashtra, Arts","95%, Positive"
Trade Show,2649,4,12:00 - 22:00,2024-11-27,2024-11-30,"18-35, Maharashtra, Arts","95%, Positive"
Seminar,326,3,10:00 - 18:00,2024-11-22,2024-11-24,"20-45, Mumbai, Sports","80%, Negative"
Seminar,895,3,09:00 - 17:00,2024-10-10,2024-10-12,"25-50, Delhi, Business","95%, Positive"
Conference,846,4,09:00 - 17:00,2024-11-24,2024-11-27,"30-60, Bangalore, Education","95%, Positive"
Conference,784,3,10:00 - 18:00,2024-12-31,2025-01-02,"30-60, Bangalore, Education","75%, Neutral"
Festival,2751,1,12:00 - 22:00,2024-11-24,2024-11-24,"18-35, Maharashtra, Arts","70%, Negative"
Festival,3464,2,09:00 - 17:00,2024-10-18,2024-10-19,"18-35, Maharashtra, Arts","85%, Positive"
Conference,982,4,09:00 - 17:00,2024-11-12,2024-11-15,"18-25, Indore, Tech","80%, Negative"
Seminar,1035,2,09:00 - 17:00,2025-01-28,2025-01-29,"18-35, Maharashtra, Arts","80%, Negative"
Festival,5974,4,14:00 - 20:00,2024-10-23,2024-10-26,"30-60, Bangalore, Education","80%, Negative"
Conference,474,2,09:00 - 17:00,2024-12-31,2025-01-01,"18-25, Indore, Tech","80%, Negative"
Seminar,367,1,09:00 - 17:00,2025-01-09,2025-01-09,"30-60, Bangalore, Education","70%, Negative"
Seminar,529,1,10:00 - 18:00,2024-12-20,2024-12-20,"25-50, Delhi, Business","70%, Negative"
Festival,1775,2,09:00 - 17:00,2025-01-15,2025-01-16,"30-60, Bangalore, Education","75%, Neutral"
Festival,5369,4,10:00 - 18:00,2024-10-06,2024-10-09,"18-25, Indore, Tech","80%, Negative"
Trade Show,2883,1,10:00 - 18:00,2024-10-24,2024-10-24,"18-35, Maharashtra, Arts","75%, Neutral"
Seminar,953,3,12:00 - 22:00,2024-11-23,2024-11-25,"18-25, Indore, Tech","80%, Negative"
Trade Show,1222,3,12:00 - 22:00,2024-10-28,2024-10-30,"30-60, Bangalore, Education","80%, Negative"
Trade Show,2067,3,14:00 - 20:00,2024-11-24,2024-11-26,"25-50, Delhi, Business","80%, Negative"
Seminar,1161,2,09:00 - 17:00,2025-01-16,2025-01-17,"18-25, Indore, Tech","70%, Negative"
Conference,985,4,10:00 - 18:00,2025-01-20,2025-01-23,"18-35, Maharashtra, Arts","80%, Negative"
Festival,6915,2,12:00 - 22:00,2024-11-23,2024-11-24,"18-35, Maharashtra, Arts","75%, Neutral"
Festival,3666,1,14:00 - 20:00,2024-10-06,2024-10-06,"18-25, Indore, Tech","85%, Positive"
Trade Show,1367,1,12:00 - 22:00,2025-01-20,2025-01-20,"30-60, Bangalore, Education","80%, Negative"
Trade Show,1464,3,14:00 - 20:00,2025-01-06,2025-01-08,"30-60, Bangalore, Education","95%, Positive"
Festival,4844,1,12:00 - 22:00,2024-10-18,2024-10-18,"25-50, Delhi, Business","85%, Positive"
Conference,895,2,09:00 - 17:00,2025-01-23,2025-01-24,"30-60, Bangalore, Education","85%, Positive"
Seminar,145,3,12:00 - 22:00,2024-10-24,2024-10-26,"25-50, Delhi, Business","95%, Positive"
Trade Show,1686,2,14:00 - 20:00,2024-11-21,2024-11-22,"18-25, Indore, Tech","85%, Positive"
Seminar,57,3,10:00 - 18:00,2024-10-21,2024-10-23,"25-50, Delhi, Business","80%, Negative"
Festival,3087,3,09:00 - 17:00,2024-10-28,2024-10-30,"25-50, Delhi, Business","75%, Neutral"
Trade Show,2427,2,10:00 - 18:00,2025-01-25,2025-01-26,"18-35, Maharashtra, Arts","75%, Neutral"
Seminar,1186,1,10:00 - 18:00,2025-01-23,2025-01-23,"25-50, Delhi, Business","95%, Positive"
Trade Show,1413,4,10:00 - 18:00,2024-12-21,2024-12-24,"18-25, Indore, Tech","75%, Neutral"
Trade Show,1804,1,10:00 - 18:00,2024-11-11,2024-11-11,"20-45, Mumbai, Sports","80%, Negative"
Trade Show,1240,1,12:00 - 22:00,2025-01-25,2025-01-25,"18-35, Maharashtra, Arts","75%, Neutral"
Festival,3480,1,14:00 - 20:00,2025-01-05,2025-01-05,"18-25, Indore, Tech","70%, Negative"
Festival,3983,3,14:00 - 20:00,2024-10-20,2024-10-22,"25-50, Delhi, Business","70%, Negative"
Festival,2879,1,14:00 - 20:00,2025-01-13,2025-01-13,"25-50, Delhi, Business","80%, Negative"
Seminar,590,3,09:00 - 17:00,2024-12-31,2025-01-02,"20-45, Mumbai, Sports","80%, Negative"
Seminar,366,4,09:00 - 17:00,2024-11-05,2024-11-08,"20-45, Mumbai, Sports","75%, Neutral"
Festival,4897,2,12:00 - 22:00,2024-10-01,2024-10-02,"30-60, Bangalore, Education","85%, Positive"
Trade Show,1866,2,12:00 - 22:00,2025-01-02,2025-01-03,"30-60, Bangalore, Education","80%, Negative"
Trade Show,1647,3,10:00 - 18:00,2025-01-15,2025-01-17,"18-35, Maharashtra, Arts","70%, Negative"
Festival,1593,1,14:00 - 20:00,2024-10-05,2024-10-05,"25-50, Delhi, Business","75%, Neutral"
Conference,1932,2,10:00 - 18:00,2024-11-15,2024-11-16,"25-50, Delhi, Business","80%, Negative"
Seminar,588,3,09:00 - 17:00,2025-01-18,2025-01-20,"18-35, Maharashtra, Arts","95%, Positive"
Seminar,1180,1,09:00 - 17:00,2024-11-15,2024-11-15,"18-35, Maharashtra, Arts","85%, Positive"
Trade Show,2890,1,10:00 - 18:00,2024-10-20,2024-10-20,"18-35, Maharashtra, Arts","80%, Negative"
Trade Show,1882,2,10:00 - 18:00,2024-10-28,2024-10-29,"18-35, Maharashtra, Arts","70%, Negative"
Conference,326,2,09:00 - 17:00,2025-01-28,2025-01-29,"18-35, Maharashtra, Arts","85%, Positive"
Trade Show,1590,4,12:00 - 22:00,2025-01-17,2025-01-20,"18-25, Indore, Tech","80%, Negative"
Trade Show,2885,1,14:00 - 20:00,2025-01-02,2025-01-02,"18-35, Maharashtra, Arts","80%, Negative"
Seminar,973,1,09:00 - 17:00,2024-10-15,2024-10-15,"30-60, Bangalore, Education","70%, Negative"
Conference,373,2,09:00 - 17:00,2024-10-22,2024-10-23,"18-25, Indore, Tech","95%, Positive"
Conference,1019,3,10:00 - 18:00,2024-10-21,2024-10-23,"18-35, Maharashtra, Arts","85%, Positive"
Trade Show,2915,1,12:00 - 22:00,2024-12-14,2024-12-14,"18-35, Maharashtra, Arts","75%, Neutral"
Festival,6198,3,14:00 - 20:00,2024-10-13,2024-10-15,"20-45, Mumbai, Sports","75%, Neutral"
Festival,1873,3,12:00 - 22:00,2024-10-03,2024-10-05,"30-60, Bangalore, Education","80%, Negative"
Trade Show,2490,2,10:00 - 18:00,2025-01-02,2025-01-03,"30-60, Bangalore, Education","75%, Neutral"
Trade Show,2096,1,14:00 - 20:00,2025-01-27,2025-01-27,"20-45, Mumbai, Sports","95%, Positive"
Festival,5986,4,14:00 - 20:00,2024-12-02,2024-12-05,"25-50, Delhi, Business","80%, Negative"
Trade Show,2991,4,14:00 - 20:00,2024-12-21,2024-12-24,"30-60, Bangalore, Education","95%, Positive"
Seminar,1080,1,10:00 - 18:00,2024-12-31,2024-12-31,"25-50, Delhi, Business","85%, Positive"
Seminar,746,4,09:00 - 17:00,2024-12-14,2024-12-17,"20-45, Mumbai, Sports","85%, Positive"
Trade Show,2965,2,10:00 - 18:00,2024-10-02,2024-10-03,"25-50, Delhi, Business","75%, Neutral"
Trade Show,1002,4,12:00 - 22:00,2024-10-11,2024-10-14,"18-25, Indore, Tech","75%, Neutral"
Festival,5233,3,09:00 - 17:00,2024-11-21,2024-11-23,"18-25, Indore, Tech","95%, Positive"
Trade Show,2359,1,14:00 - 20:00,2024-10-16,2024-10-16,"18-25, Indore, Tech","85%, Positive"
Festival,4787,4,09:00 - 17:00,2024-10-02,2024-10-05,"18-35, Maharashtra, Arts","95%, Positive"
Conference,328,2,09:00 - 17:00,2024-12-29,2024-12-30,"30-60, Bangalore, Education","75%, Neutral"
Festival,2123,3,10:00 - 18:00,2024-12-07,2024-12-09,"18-35, Maharashtra, Arts","75%, Neutral"
Trade Show,1713,1,10:00 - 18:00,2025-01-10,2025-01-10,"18-25, Indore, Tech","75%, Neutral"
Conference,1113,4,10:00 - 18:00,2025-01-04,2025-01-07,"25-50, Delhi, Business","75%, Neutral"
Seminar,1142,4,10:00 - 18:00,2024-11-13,2024-11-16,"18-25, Indore, Tech","70%, Negative"
Conference,1136,2,09:00 - 17:00,2025-01-19,2025-01-20,"30-60, Bangalore, Education","95%, Positive"
Conference,1283,2,09:00 - 17:00,2024-12-01,2024-12-02,"18-35, Maharashtra, Arts","75%, Neutral"
Trade Show,1743,2,10:00 - 18:00,2024-10-22,2024-10-23,"18-35, Maharashtra, Arts","95%, Positive"
Festival,4936,1,09:00 - 17:00,2024-10-19,2024-10-19,"20-45, Mumbai, Sports","95%, Positive"
Trade Show,924,4,14:00 - 20:00,2025-01-08,2025-01-11,"30-60, Bangalore, Education","75%, Neutral"
Seminar,582,3,09:00 - 17:00,2024-10-18,2024-10-20,"30-60, Bangalore, Education","70%, Negative"
Seminar,296,4,10:00 - 18:00,2024-11-22,2024-11-25,"18-25, Indore, Tech","95%, Positive"
Seminar,619,2,12:00 - 22:00,2024-10-27,2024-10-28,"18-35, Maharashtra, Arts","75%, Neutral"
Trade Show,828,3,14:00 - 20:00,2024-11-07,2024-11-09,"18-35, Maharashtra, Arts","70%, Negative"
Conference,592,2,10:00 - 18:00,2024-11-29,2024-11-30,"25-50, Delhi, Business","80%, Negative"
Festival,3034,2,12:00 - 22:00,2025-01-27,2025-01-28,"25-50, Delhi, Business","80%, Negative"
Conference,1612,3,10:00 - 18:00,2024-10-30,2024-11-01,"30-60, Bangalore, Education","75%, Neutral"
Seminar,870,4,12:00 - 22:00,2024-10-14,2024-10-17,"25-50, Delhi, Business","75%, Neutral"
Festival,6129,2,14:00 - 20:00,2024-11-02,2024-11-03,"20-45, Mumbai, Sports","85%, Positive"
Trade Show,1840,3,14:00 - 20:00,2025-01-09,2025-01-11,"25-50, Delhi, Business","75%, Neutral"
Trade Show,1741,3,12:00 - 22:00,2024-12-27,2024-12-29,"18-25, Indore, Tech","70%, Negative"
Trade Show,2262,3,12:00 - 22:00,2025-01-27,2025-01-29,"18-25, Indore, Tech","80%, Negative"
Seminar,696,3,10:00 - 18:00,2024-11-19,2024-11-21,"30-60, Bangalore, Education","80%, Negative"
