Event Type,Event Size (Attendees),Event Duration (Days),Event Schedule (Start - End),"Participant Demographics (Age, Location, Interests)","Participant Engagement Metrics (Attendance, Feedback)"
Trade Show,4051,4,09:00 - 17:00,"18-25, Indore, Tech","75%, Neutral"
Workshop,1010,3,10:00 - 18:00,"18-25, Indore, Tech","95%, Positive"
Trade Show,5503,3,12:00 - 22:00,"25-40, Bhopal, Business","70%, Mixed"
Concert,8579,2,12:00 - 22:00,"20-45, Mumbai, Sports","85%, Positive"
Conference,4142,4,12:00 - 22:00,"16-30, Banglore, Music","95%, Positive"
Seminar,2080,3,08:00 - 16:00,"16-30, Banglore, Music","80%, Negative"
Seminar,4237,2,19:00 - 22:00,"20-45, Mumbai, Sports","80%, Negative"
Workshop,437,1,09:00 - 17:00,"18-25, Indore, Tech","85%, Positive"
Festival,8550,1,12:00 - 22:00,"25-40, Bhopal, Business","75%, Neutral"
Webinar,2491,3,14:00 - 20:00,"25-40, Bhopal, Business","90%, Very Positive"
Workshop,7779,3,09:00 - 17:00,"18-35, Maharashtra, Arts","80%, Negative"
Trade Show,533,4,19:00 - 22:00,"16-30, Banglore, Music","95%, Positive"
Trade Show,6179,2,12:00 - 22:00,"16-30, Banglore, Music","75%, Neutral"
Concert,2929,2,10:00 - 18:00,"25-40, Bhopal, Business","95%, Positive"
Webinar,7165,3,10:00 - 18:00,"18-25, Indore, Tech","85%, Positive"
Workshop,7943,4,10:00 - 18:00,"16-30, Banglore, Music","70%, Mixed"
Festival,5690,2,08:00 - 16:00,"30-50, Delhi, Education","85%, Positive"
Workshop,6614,1,08:00 - 16:00,"18-25, Indore, Tech","85%, Positive"
Seminar,1260,4,12:00 - 22:00,"30-50, Delhi, Education","90%, Very Positive"
Webinar,2462,1,12:00 - 22:00,"25-40, Bhopal, Business","75%, Neutral"
Webinar,4866,2,08:00 - 16:00,"18-35, Maharashtra, Arts","80%, Negative"
Concert,2818,4,09:00 - 17:00,"18-35, Maharashtra, Arts","90%, Very Positive"
Trade Show,9126,2,19:00 - 22:00,"18-25, Indore, Tech","95%, Positive"
Workshop,7642,1,09:00 - 17:00,"16-30, Banglore, Music","70%, Mixed"
Concert,9086,2,14:00 - 20:00,"18-25, Indore, Tech","70%, Mixed"
Trade Show,9399,1,12:00 - 22:00,"30-50, Delhi, Education","85%, Positive"
Workshop,4410,4,10:00 - 18:00,"20-45, Mumbai, Sports","80%, Negative"
Seminar,1145,1,10:00 - 18:00,"30-50, Delhi, Education","90%, Very Positive"
Webinar,3482,3,14:00 - 20:00,"25-40, Bhopal, Business","80%, Negative"
Seminar,3772,3,08:00 - 16:00,"30-50, Delhi, Education","85%, Positive"
Workshop,8969,4,12:00 - 22:00,"25-40, Bhopal, Business","75%, Neutral"
Workshop,9567,3,08:00 - 16:00,"18-25, Indore, Tech","95%, Positive"
Conference,3287,4,10:00 - 18:00,"18-25, Indore, Tech","75%, Neutral"
Seminar,1561,4,19:00 - 22:00,"18-25, Indore, Tech","85%, Positive"
Seminar,2712,4,14:00 - 20:00,"20-45, Mumbai, Sports","75%, Neutral"
Trade Show,2227,3,09:00 - 17:00,"18-35, Maharashtra, Arts","95%, Positive"
Conference,2603,1,08:00 - 16:00,"16-30, Banglore, Music","90%, Very Positive"
Trade Show,6112,1,12:00 - 22:00,"16-30, Banglore, Music","90%, Very Positive"
Conference,3965,1,14:00 - 20:00,"30-50, Delhi, Education","90%, Very Positive"
Festival,6215,4,12:00 - 22:00,"18-35, Maharashtra, Arts","90%, Very Positive"
Seminar,4397,4,14:00 - 20:00,"30-50, Delhi, Education","90%, Very Positive"
Conference,9739,2,12:00 - 22:00,"18-35, Maharashtra, Arts","75%, Neutral"
Seminar,2898,3,14:00 - 20:00,"30-50, Delhi, Education","75%, Neutral"
Festival,9842,1,09:00 - 17:00,"25-40, Bhopal, Business","95%, Positive"
Trade Show,793,4,08:00 - 16:00,"25-40, Bhopal, Business","95%, Positive"
Workshop,3109,4,09:00 - 17:00,"25-40, Bhopal, Business","80%, Negative"
Webinar,5923,1,08:00 - 16:00,"20-45, Mumbai, Sports","70%, Mixed"
Conference,5019,2,12:00 - 22:00,"18-35, Maharashtra, Arts","95%, Positive"
Concert,745,3,09:00 - 17:00,"25-40, Bhopal, Business","80%, Negative"
Webinar,8164,2,19:00 - 22:00,"18-25, Indore, Tech","80%, Negative"
Webinar,5015,2,19:00 - 22:00,"30-50, Delhi, Education","90%, Very Positive"
Concert,3378,3,19:00 - 22:00,"20-45, Mumbai, Sports","95%, Positive"
Workshop,8573,3,12:00 - 22:00,"30-50, Delhi, Education","80%, Negative"
Conference,1054,3,14:00 - 20:00,"16-30, Banglore, Music","85%, Positive"
Conference,9271,3,10:00 - 18:00,"20-45, Mumbai, Sports","85%, Positive"
Concert,3840,1,08:00 - 16:00,"18-35, Maharashtra, Arts","90%, Very Positive"
Concert,1060,1,19:00 - 22:00,"25-40, Bhopal, Business","90%, Very Positive"
Conference,2255,2,09:00 - 17:00,"20-45, Mumbai, Sports","95%, Positive"
Concert,3969,1,14:00 - 20:00,"16-30, Banglore, Music","80%, Negative"
Conference,1217,1,10:00 - 18:00,"18-25, Indore, Tech","95%, Positive"
Trade Show,9451,4,09:00 - 17:00,"30-50, Delhi, Education","80%, Negative"
Trade Show,8626,2,10:00 - 18:00,"16-30, Banglore, Music","70%, Mixed"
Concert,1422,1,10:00 - 18:00,"30-50, Delhi, Education","90%, Very Positive"
Seminar,7294,1,08:00 - 16:00,"18-35, Maharashtra, Arts","85%, Positive"
Festival,1998,2,19:00 - 22:00,"18-35, Maharashtra, Arts","90%, Very Positive"
Festival,6628,1,10:00 - 18:00,"20-45, Mumbai, Sports","90%, Very Positive"
Festival,3044,1,14:00 - 20:00,"18-35, Maharashtra, Arts","90%, Very Positive"
Webinar,1510,2,10:00 - 18:00,"18-25, Indore, Tech","70%, Mixed"
Festival,598,2,12:00 - 22:00,"25-40, Bhopal, Business","85%, Positive"
Concert,8158,1,09:00 - 17:00,"18-35, Maharashtra, Arts","95%, Positive"
Festival,791,3,10:00 - 18:00,"20-45, Mumbai, Sports","80%, Negative"
Conference,5652,3,08:00 - 16:00,"16-30, Banglore, Music","80%, Negative"
Webinar,3056,4,08:00 - 16:00,"18-35, Maharashtra, Arts","90%, Very Positive"
Workshop,7694,2,08:00 - 16:00,"20-45, Mumbai, Sports","95%, Positive"
Webinar,6568,1,08:00 - 16:00,"20-45, Mumbai, Sports","70%, Mixed"
Conference,6955,4,09:00 - 17:00,"18-25, Indore, Tech","85%, Positive"
Workshop,1818,4,14:00 - 20:00,"18-25, Indore, Tech","95%, Positive"
Conference,8968,2,10:00 - 18:00,"18-25, Indore, Tech","80%, Negative"
Webinar,1140,2,08:00 - 16:00,"25-40, Bhopal, Business","80%, Negative"
Seminar,2847,1,14:00 - 20:00,"20-45, Mumbai, Sports","80%, Negative"
Webinar,1935,2,12:00 - 22:00,"25-40, Bhopal, Business","70%, Mixed"
Webinar,4773,1,12:00 - 22:00,"25-40, Bhopal, Business","90%, Very Positive"
Trade Show,4294,2,09:00 - 17:00,"16-30, Banglore, Music","75%, Neutral"
Concert,7599,4,08:00 - 16:00,"25-40, Bhopal, Business","70%, Mixed"
Workshop,7375,4,09:00 - 17:00,"30-50, Delhi, Education","75%, Neutral"
Conference,5719,2,19:00 - 22:00,"25-40, Bhopal, Business","80%, Negative"
Conference,7010,1,14:00 - 20:00,"20-45, Mumbai, Sports","90%, Very Positive"
Trade Show,7855,4,09:00 - 17:00,"16-30, Banglore, Music","75%, Neutral"
Webinar,6319,2,09:00 - 17:00,"30-50, Delhi, Education","75%, Neutral"
Concert,4808,3,19:00 - 22:00,"18-35, Maharashtra, Arts","70%, Mixed"
Seminar,9146,4,09:00 - 17:00,"20-45, Mumbai, Sports","90%, Very Positive"
Seminar,9753,2,08:00 - 16:00,"30-50, Delhi, Education","80%, Negative"
Seminar,4919,4,14:00 - 20:00,"18-25, Indore, Tech","90%, Very Positive"
Webinar,9633,1,19:00 - 22:00,"16-30, Banglore, Music","90%, Very Positive"
Conference,9321,3,10:00 - 18:00,"20-45, Mumbai, Sports","90%, Very Positive"
Concert,7493,4,19:00 - 22:00,"25-40, Bhopal, Business","70%, Mixed"
Conference,5502,1,12:00 - 22:00,"25-40, Bhopal, Business","90%, Very Positive"
Webinar,8297,1,10:00 - 18:00,"20-45, Mumbai, Sports","90%, Very Positive"
Festival,9494,1,08:00 - 16:00,"16-30, Banglore, Music","75%, Neutral"
Seminar,2921,1,09:00 - 17:00,"18-35, Maharashtra, Arts","90%, Very Positive"
Conference,8413,3,12:00 - 22:00,"16-30, Banglore, Music","75%, Neutral"
Workshop,4543,1,08:00 - 16:00,"30-50, Delhi, Education","95%, Positive"
Workshop,2027,2,12:00 - 22:00,"20-45, Mumbai, Sports","75%, Neutral"
Webinar,2193,3,08:00 - 16:00,"30-50, Delhi, Education","85%, Positive"
Festival,2358,4,14:00 - 20:00,"18-25, Indore, Tech","95%, Positive"
Trade Show,4220,4,09:00 - 17:00,"25-40, Bhopal, Business","90%, Very Positive"
Conference,5545,1,09:00 - 17:00,"18-25, Indore, Tech","75%, Neutral"
Workshop,845,2,08:00 - 16:00,"20-45, Mumbai, Sports","95%, Positive"
Webinar,1119,3,09:00 - 17:00,"16-30, Banglore, Music","90%, Very Positive"
Workshop,3916,2,12:00 - 22:00,"30-50, Delhi, Education","80%, Negative"
Concert,4387,4,12:00 - 22:00,"18-25, Indore, Tech","80%, Negative"
Workshop,9300,3,10:00 - 18:00,"18-35, Maharashtra, Arts","80%, Negative"
Seminar,3842,1,10:00 - 18:00,"16-30, Banglore, Music","75%, Neutral"
Seminar,8934,1,12:00 - 22:00,"30-50, Delhi, Education","85%, Positive"
Concert,6346,1,09:00 - 17:00,"30-50, Delhi, Education","70%, Mixed"
Webinar,8200,4,09:00 - 17:00,"30-50, Delhi, Education","70%, Mixed"
Workshop,3116,1,12:00 - 22:00,"20-45, Mumbai, Sports","90%, Very Positive"
Webinar,1830,1,12:00 - 22:00,"25-40, Bhopal, Business","75%, Neutral"
Concert,2394,2,14:00 - 20:00,"16-30, Banglore, Music","95%, Positive"
Webinar,2791,3,10:00 - 18:00,"20-45, Mumbai, Sports","85%, Positive"
Conference,2986,3,09:00 - 17:00,"20-45, Mumbai, Sports","90%, Very Positive"
Webinar,6831,2,19:00 - 22:00,"18-35, Maharashtra, Arts","95%, Positive"
Festival,7000,4,08:00 - 16:00,"20-45, Mumbai, Sports","75%, Neutral"
Trade Show,2327,4,10:00 - 18:00,"16-30, Banglore, Music","75%, Neutral"
Trade Show,1655,1,10:00 - 18:00,"18-35, Maharashtra, Arts","70%, Mixed"
Festival,1385,3,14:00 - 20:00,"20-45, Mumbai, Sports","90%, Very Positive"
Seminar,5983,3,09:00 - 17:00,"20-45, Mumbai, Sports","75%, Neutral"
Workshop,4508,2,10:00 - 18:00,"16-30, Banglore, Music","75%, Neutral"
Seminar,2037,1,19:00 - 22:00,"18-25, Indore, Tech","70%, Mixed"
Seminar,8649,4,12:00 - 22:00,"18-35, Maharashtra, Arts","70%, Mixed"
Concert,7547,4,10:00 - 18:00,"20-45, Mumbai, Sports","70%, Mixed"
Conference,9807,4,09:00 - 17:00,"18-25, Indore, Tech","75%, Neutral"
Webinar,6115,1,14:00 - 20:00,"20-45, Mumbai, Sports","90%, Very Positive"
Festival,9832,1,19:00 - 22:00,"18-25, Indore, Tech","95%, Positive"
Workshop,6780,3,08:00 - 16:00,"18-35, Maharashtra, Arts","80%, Negative"
Festival,7660,4,14:00 - 20:00,"25-40, Bhopal, Business","90%, Very Positive"
Webinar,9403,4,14:00 - 20:00,"18-35, Maharashtra, Arts","70%, Mixed"
Conference,9329,2,08:00 - 16:00,"30-50, Delhi, Education","85%, Positive"
Concert,6322,2,12:00 - 22:00,"20-45, Mumbai, Sports","75%, Neutral"
Webinar,3850,2,10:00 - 18:00,"20-45, Mumbai, Sports","70%, Mixed"
Webinar,855,3,10:00 - 18:00,"18-25, Indore, Tech","85%, Positive"
Workshop,9618,1,19:00 - 22:00,"18-35, Maharashtra, Arts","90%, Very Positive"
Seminar,2852,1,12:00 - 22:00,"18-35, Maharashtra, Arts","70%, Mixed"
Concert,4007,4,12:00 - 22:00,"16-30, Banglore, Music","75%, Neutral"
Conference,5797,3,19:00 - 22:00,"25-40, Bhopal, Business","80%, Negative"
Seminar,9730,1,09:00 - 17:00,"25-40, Bhopal, Business","85%, Positive"
Workshop,9922,4,09:00 - 17:00,"18-25, Indore, Tech","95%, Positive"
Concert,5940,1,19:00 - 22:00,"18-35, Maharashtra, Arts","80%, Negative"
Concert,5587,3,09:00 - 17:00,"18-25, Indore, Tech","85%, Positive"
Concert,5579,4,10:00 - 18:00,"18-25, Indore, Tech","95%, Positive"
Festival,1577,4,08:00 - 16:00,"18-25, Indore, Tech","70%, Mixed"
Workshop,5977,2,08:00 - 16:00,"18-25, Indore, Tech","95%, Positive"
Webinar,4153,3,10:00 - 18:00,"30-50, Delhi, Education","90%, Very Positive"
Conference,1335,4,19:00 - 22:00,"25-40, Bhopal, Business","90%, Very Positive"
Webinar,1165,3,08:00 - 16:00,"25-40, Bhopal, Business","70%, Mixed"
Webinar,3990,1,09:00 - 17:00,"18-25, Indore, Tech","80%, Negative"
Conference,6257,3,08:00 - 16:00,"18-35, Maharashtra, Arts","80%, Negative"
Webinar,4592,1,14:00 - 20:00,"18-35, Maharashtra, Arts","75%, Neutral"
Festival,561,4,14:00 - 20:00,"25-40, Bhopal, Business","70%, Mixed"
Conference,6381,2,10:00 - 18:00,"18-35, Maharashtra, Arts","80%, Negative"
Seminar,9372,1,12:00 - 22:00,"18-25, Indore, Tech","75%, Neutral"
Webinar,1682,2,09:00 - 17:00,"30-50, Delhi, Education","90%, Very Positive"
Conference,2566,1,19:00 - 22:00,"30-50, Delhi, Education","80%, Negative"
Trade Show,1793,4,12:00 - 22:00,"16-30, Banglore, Music","80%, Negative"
Webinar,9894,4,14:00 - 20:00,"20-45, Mumbai, Sports","80%, Negative"
Conference,3264,2,09:00 - 17:00,"16-30, Banglore, Music","95%, Positive"
Trade Show,2915,4,19:00 - 22:00,"18-25, Indore, Tech","75%, Neutral"
Workshop,9060,2,10:00 - 18:00,"30-50, Delhi, Education","75%, Neutral"
Festival,9304,2,10:00 - 18:00,"16-30, Banglore, Music","80%, Negative"
Workshop,868,3,12:00 - 22:00,"25-40, Bhopal, Business","85%, Positive"
Workshop,6654,3,19:00 - 22:00,"18-25, Indore, Tech","70%, Mixed"
Seminar,8075,3,08:00 - 16:00,"30-50, Delhi, Education","85%, Positive"
Concert,6121,1,10:00 - 18:00,"25-40, Bhopal, Business","90%, Very Positive"
Trade Show,9344,2,14:00 - 20:00,"25-40, Bhopal, Business","95%, Positive"
Conference,7067,3,09:00 - 17:00,"25-40, Bhopal, Business","70%, Mixed"
Workshop,7257,4,08:00 - 16:00,"18-35, Maharashtra, Arts","75%, Neutral"
Festival,9196,4,08:00 - 16:00,"16-30, Banglore, Music","75%, Neutral"
Concert,6520,4,12:00 - 22:00,"20-45, Mumbai, Sports","75%, Neutral"
Festival,1704,4,08:00 - 16:00,"18-25, Indore, Tech","70%, Mixed"
Conference,1602,3,19:00 - 22:00,"18-25, Indore, Tech","75%, Neutral"
Seminar,1230,2,08:00 - 16:00,"18-35, Maharashtra, Arts","90%, Very Positive"
Seminar,9982,1,19:00 - 22:00,"20-45, Mumbai, Sports","85%, Positive"
Seminar,1833,4,09:00 - 17:00,"20-45, Mumbai, Sports","75%, Neutral"
Workshop,6632,4,14:00 - 20:00,"18-25, Indore, Tech","95%, Positive"
Festival,5147,4,08:00 - 16:00,"18-35, Maharashtra, Arts","90%, Very Positive"
Festival,835,2,14:00 - 20:00,"25-40, Bhopal, Business","70%, Mixed"
Seminar,2327,4,19:00 - 22:00,"30-50, Delhi, Education","90%, Very Positive"
Concert,4233,1,12:00 - 22:00,"18-25, Indore, Tech","70%, Mixed"
Webinar,3336,1,19:00 - 22:00,"25-40, Bhopal, Business","85%, Positive"
Concert,429,2,14:00 - 20:00,"20-45, Mumbai, Sports","80%, Negative"
Festival,9590,4,09:00 - 17:00,"16-30, Banglore, Music","75%, Neutral"
Webinar,6568,4,08:00 - 16:00,"16-30, Banglore, Music","80%, Negative"
Workshop,9817,2,19:00 - 22:00,"30-50, Delhi, Education","75%, Neutral"
Seminar,7494,4,12:00 - 22:00,"16-30, Banglore, Music","70%, Mixed"
Conference,1410,2,19:00 - 22:00,"30-50, Delhi, Education","85%, Positive"
Webinar,8110,4,12:00 - 22:00,"18-25, Indore, Tech","90%, Very Positive"
Trade Show,1306,2,14:00 - 20:00,"30-50, Delhi, Education","70%, Mixed"
Webinar,201,2,19:00 - 22:00,"20-45, Mumbai, Sports","80%, Negative"
Webinar,9696,2,14:00 - 20:00,"20-45, Mumbai, Sports","80%, Negative"
Workshop,9888,3,10:00 - 18:00,"16-30, Banglore, Music","70%, Mixed"
Festival,201,2,12:00 - 22:00,"20-45, Mumbai, Sports","95%, Positive"
Festival,2061,1,12:00 - 22:00,"20-45, Mumbai, Sports","90%, Very Positive"
Webinar,7218,3,09:00 - 17:00,"20-45, Mumbai, Sports","80%, Negative"
Concert,2985,2,10:00 - 18:00,"30-50, Delhi, Education","80%, Negative"
Workshop,4086,2,08:00 - 16:00,"30-50, Delhi, Education","75%, Neutral"
Concert,4957,3,10:00 - 18:00,"18-25, Indore, Tech","85%, Positive"
Seminar,4804,3,08:00 - 16:00,"20-45, Mumbai, Sports","70%, Mixed"
Workshop,9539,4,14:00 - 20:00,"25-40, Bhopal, Business","75%, Neutral"
Seminar,9839,1,14:00 - 20:00,"18-35, Maharashtra, Arts","85%, Positive"
Festival,9611,2,10:00 - 18:00,"16-30, Banglore, Music","90%, Very Positive"
Workshop,4215,1,08:00 - 16:00,"25-40, Bhopal, Business","80%, Negative"
Workshop,5560,4,10:00 - 18:00,"20-45, Mumbai, Sports","80%, Negative"
Concert,187,3,14:00 - 20:00,"16-30, Banglore, Music","90%, Very Positive"
Seminar,4145,4,12:00 - 22:00,"20-45, Mumbai, Sports","70%, Mixed"
Seminar,8347,1,14:00 - 20:00,"30-50, Delhi, Education","80%, Negative"
Webinar,9123,2,14:00 - 20:00,"18-25, Indore, Tech","80%, Negative"
Webinar,3922,4,09:00 - 17:00,"18-35, Maharashtra, Arts","70%, Mixed"
Concert,284,2,08:00 - 16:00,"20-45, Mumbai, Sports","80%, Negative"
Workshop,127,3,10:00 - 18:00,"30-50, Delhi, Education","70%, Mixed"
Trade Show,9240,3,08:00 - 16:00,"20-45, Mumbai, Sports","85%, Positive"
Seminar,686,4,14:00 - 20:00,"30-50, Delhi, Education","70%, Mixed"
Concert,8422,3,19:00 - 22:00,"25-40, Bhopal, Business","95%, Positive"
Seminar,2473,3,10:00 - 18:00,"20-45, Mumbai, Sports","85%, Positive"
Festival,8852,1,09:00 - 17:00,"16-30, Banglore, Music","85%, Positive"
Seminar,9530,4,12:00 - 22:00,"30-50, Delhi, Education","80%, Negative"
Workshop,4876,2,12:00 - 22:00,"20-45, Mumbai, Sports","75%, Neutral"
Concert,8185,4,19:00 - 22:00,"18-25, Indore, Tech","70%, Mixed"
Webinar,2906,4,09:00 - 17:00,"25-40, Bhopal, Business","80%, Negative"
Seminar,1067,2,09:00 - 17:00,"20-45, Mumbai, Sports","80%, Negative"
Workshop,5980,1,14:00 - 20:00,"30-50, Delhi, Education","90%, Very Positive"
Trade Show,3485,1,19:00 - 22:00,"16-30, Banglore, Music","75%, Neutral"
Concert,4294,1,12:00 - 22:00,"16-30, Banglore, Music","90%, Very Positive"
Trade Show,9376,1,19:00 - 22:00,"16-30, Banglore, Music","95%, Positive"
Festival,8064,3,12:00 - 22:00,"25-40, Bhopal, Business","70%, Mixed"
Festival,7656,3,09:00 - 17:00,"20-45, Mumbai, Sports","75%, Neutral"
Trade Show,2706,2,08:00 - 16:00,"18-35, Maharashtra, Arts","95%, Positive"
Concert,8979,2,09:00 - 17:00,"20-45, Mumbai, Sports","70%, Mixed"
Workshop,5290,2,09:00 - 17:00,"18-35, Maharashtra, Arts","85%, Positive"
Conference,5550,4,08:00 - 16:00,"25-40, Bhopal, Business","80%, Negative"
Trade Show,3285,2,12:00 - 22:00,"30-50, Delhi, Education","75%, Neutral"
Workshop,1011,4,09:00 - 17:00,"25-40, Bhopal, Business","95%, Positive"
Trade Show,5748,2,12:00 - 22:00,"25-40, Bhopal, Business","75%, Neutral"
Webinar,3085,3,09:00 - 17:00,"25-40, Bhopal, Business","75%, Neutral"
Concert,3725,4,08:00 - 16:00,"20-45, Mumbai, Sports","75%, Neutral"
Concert,8714,2,08:00 - 16:00,"20-45, Mumbai, Sports","80%, Negative"
Webinar,293,1,10:00 - 18:00,"18-35, Maharashtra, Arts","90%, Very Positive"
Webinar,8620,4,12:00 - 22:00,"16-30, Banglore, Music","70%, Mixed"
Workshop,4556,1,10:00 - 18:00,"20-45, Mumbai, Sports","85%, Positive"
Concert,8466,3,09:00 - 17:00,"25-40, Bhopal, Business","70%, Mixed"
Seminar,397,3,19:00 - 22:00,"20-45, Mumbai, Sports","75%, Neutral"
Workshop,4390,1,09:00 - 17:00,"18-25, Indore, Tech","90%, Very Positive"
Festival,4334,3,19:00 - 22:00,"16-30, Banglore, Music","95%, Positive"
Seminar,4448,4,08:00 - 16:00,"25-40, Bhopal, Business","95%, Positive"
Workshop,1433,2,08:00 - 16:00,"18-35, Maharashtra, Arts","75%, Neutral"
Festival,7024,1,10:00 - 18:00,"18-35, Maharashtra, Arts","85%, Positive"
Conference,2031,1,19:00 - 22:00,"25-40, Bhopal, Business","80%, Negative"
Concert,2098,1,09:00 - 17:00,"16-30, Banglore, Music","85%, Positive"
Festival,8811,4,14:00 - 20:00,"18-35, Maharashtra, Arts","75%, Neutral"
Conference,6816,1,19:00 - 22:00,"16-30, Banglore, Music","70%, Mixed"
Seminar,2530,3,08:00 - 16:00,"18-25, Indore, Tech","90%, Very Positive"
Conference,144,4,10:00 - 18:00,"16-30, Banglore, Music","85%, Positive"
Festival,6386,2,12:00 - 22:00,"25-40, Bhopal, Business","90%, Very Positive"
Conference,7696,3,08:00 - 16:00,"25-40, Bhopal, Business","70%, Mixed"
Workshop,8760,1,08:00 - 16:00,"16-30, Banglore, Music","85%, Positive"
Trade Show,3186,4,09:00 - 17:00,"18-25, Indore, Tech","75%, Neutral"
Conference,1541,4,19:00 - 22:00,"16-30, Banglore, Music","90%, Very Positive"
Trade Show,4051,2,08:00 - 16:00,"30-50, Delhi, Education","95%, Positive"
Workshop,8137,2,12:00 - 22:00,"30-50, Delhi, Education","75%, Neutral"
Festival,9135,1,14:00 - 20:00,"20-45, Mumbai, Sports","90%, Very Positive"
Concert,4178,3,10:00 - 18:00,"16-30, Banglore, Music","75%, Neutral"
Seminar,4154,3,12:00 - 22:00,"18-35, Maharashtra, Arts","90%, Very Positive"
Conference,1563,3,09:00 - 17:00,"18-35, Maharashtra, Arts","70%, Mixed"
Trade Show,1290,2,08:00 - 16:00,"18-25, Indore, Tech","75%, Neutral"
Workshop,855,1,14:00 - 20:00,"20-45, Mumbai, Sports","70%, Mixed"
Seminar,9513,1,08:00 - 16:00,"18-25, Indore, Tech","90%, Very Positive"
Festival,2089,2,12:00 - 22:00,"20-45, Mumbai, Sports","70%, Mixed"
Seminar,7199,4,08:00 - 16:00,"16-30, Banglore, Music","80%, Negative"
Concert,3938,1,10:00 - 18:00,"20-45, Mumbai, Sports","95%, Positive"
Trade Show,399,2,14:00 - 20:00,"16-30, Banglore, Music","90%, Very Positive"
Seminar,4372,4,09:00 - 17:00,"18-25, Indore, Tech","80%, Negative"
Webinar,8923,3,09:00 - 17:00,"20-45, Mumbai, Sports","85%, Positive"
Workshop,218,3,09:00 - 17:00,"30-50, Delhi, Education","70%, Mixed"
Festival,3269,3,19:00 - 22:00,"18-35, Maharashtra, Arts","95%, Positive"
Seminar,7751,1,08:00 - 16:00,"20-45, Mumbai, Sports","75%, Neutral"
Conference,8236,2,12:00 - 22:00,"18-25, Indore, Tech","95%, Positive"
Trade Show,5083,1,09:00 - 17:00,"30-50, Delhi, Education","95%, Positive"
Webinar,3004,2,08:00 - 16:00,"16-30, Banglore, Music","85%, Positive"
Trade Show,4778,4,08:00 - 16:00,"20-45, Mumbai, Sports","90%, Very Positive"
Webinar,7056,3,10:00 - 18:00,"18-25, Indore, Tech","80%, Negative"
Conference,1609,1,19:00 - 22:00,"20-45, Mumbai, Sports","70%, Mixed"
Trade Show,3809,3,12:00 - 22:00,"30-50, Delhi, Education","90%, Very Positive"
Conference,9947,3,12:00 - 22:00,"18-25, Indore, Tech","85%, Positive"
Trade Show,1004,4,12:00 - 22:00,"18-35, Maharashtra, Arts","80%, Negative"
Seminar,5221,1,19:00 - 22:00,"18-25, Indore, Tech","75%, Neutral"
Concert,8215,3,10:00 - 18:00,"30-50, Delhi, Education","70%, Mixed"
Workshop,6311,3,09:00 - 17:00,"25-40, Bhopal, Business","75%, Neutral"
Seminar,9711,2,14:00 - 20:00,"30-50, Delhi, Education","95%, Positive"
Conference,8959,3,12:00 - 22:00,"18-35, Maharashtra, Arts","90%, Very Positive"
Webinar,9992,2,12:00 - 22:00,"20-45, Mumbai, Sports","70%, Mixed"
Seminar,1407,2,08:00 - 16:00,"18-25, Indore, Tech","90%, Very Positive"
Seminar,6565,4,12:00 - 22:00,"25-40, Bhopal, Business","95%, Positive"
Concert,9152,4,09:00 - 17:00,"18-35, Maharashtra, Arts","95%, Positive"
Seminar,8016,2,14:00 - 20:00,"25-40, Bhopal, Business","90%, Very Positive"
Concert,5067,2,14:00 - 20:00,"16-30, Banglore, Music","85%, Positive"
Concert,8589,2,12:00 - 22:00,"25-40, Bhopal, Business","95%, Positive"
Concert,7177,1,10:00 - 18:00,"20-45, Mumbai, Sports","80%, Negative"
Seminar,1105,4,10:00 - 18:00,"20-45, Mumbai, Sports","90%, Very Positive"
Seminar,7074,3,10:00 - 18:00,"20-45, Mumbai, Sports","80%, Negative"
Festival,7404,2,12:00 - 22:00,"25-40, Bhopal, Business","85%, Positive"
Seminar,8293,2,14:00 - 20:00,"18-25, Indore, Tech","75%, Neutral"
Concert,7294,4,08:00 - 16:00,"25-40, Bhopal, Business","80%, Negative"
Seminar,2795,1,12:00 - 22:00,"30-50, Delhi, Education","95%, Positive"
Seminar,6451,1,19:00 - 22:00,"18-35, Maharashtra, Arts","75%, Neutral"
Webinar,1844,4,09:00 - 17:00,"30-50, Delhi, Education","75%, Neutral"
Webinar,4265,3,09:00 - 17:00,"18-25, Indore, Tech","75%, Neutral"
Webinar,4106,1,09:00 - 17:00,"30-50, Delhi, Education","80%, Negative"
Workshop,4527,1,09:00 - 17:00,"25-40, Bhopal, Business","90%, Very Positive"
Festival,9853,1,19:00 - 22:00,"18-35, Maharashtra, Arts","85%, Positive"
Festival,7803,1,14:00 - 20:00,"25-40, Bhopal, Business","95%, Positive"
Conference,3111,1,19:00 - 22:00,"30-50, Delhi, Education","95%, Positive"
Workshop,3476,1,10:00 - 18:00,"18-35, Maharashtra, Arts","85%, Positive"
Seminar,715,4,12:00 - 22:00,"25-40, Bhopal, Business","70%, Mixed"
Webinar,3183,4,09:00 - 17:00,"18-35, Maharashtra, Arts","80%, Negative"
Webinar,4799,1,14:00 - 20:00,"30-50, Delhi, Education","70%, Mixed"
Concert,9960,3,19:00 - 22:00,"30-50, Delhi, Education","75%, Neutral"
Festival,2639,3,09:00 - 17:00,"20-45, Mumbai, Sports","80%, Negative"
Webinar,5620,3,10:00 - 18:00,"20-45, Mumbai, Sports","95%, Positive"
Webinar,9318,2,19:00 - 22:00,"30-50, Delhi, Education","75%, Neutral"
